FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.A.4: The risk appetite is informed by the institution’s role in critical infrastructure.,Advanced,Full,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",GV.RM-02.03,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.A.5: Management is continuously improving the existing cybersecurity program to adapt as the desired cybersecurity target state changes.,Advanced,Full,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",ID.IM-01.04,IDENTIFY / Improvement / Continuous Improvements Evaluation
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Inn.1: The cybersecurity strategy identifies and communicates the institution's role as it relates to other critical infrastructures.,Innovative,Full,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GV.OC-02.03,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.B.1: An inventory of organizational assets (e.g., hardware, software, data, and systems hosted externally) is maintained.",Baseline,Full Summarily,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",ID.AM-01.01,IDENTIFY / Asset Management / Hardware Inventory
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.B.1: An inventory of organizational assets (e.g., hardware, software, data, and systems hosted externally) is maintained.",Baseline,Full Summarily,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).",ID.AM-02.01,"IDENTIFY / Asset Management / Software, Services, & Systems Inventory"
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.B.1: An inventory of organizational assets (e.g., hardware, software, data, and systems hosted externally) is maintained.",Baseline,Full Summarily,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",ID.AM-04.01,IDENTIFY / Asset Management / Supplier Services Inventory
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.B.1: An inventory of organizational assets (e.g., hardware, software, data, and systems hosted externally) is maintained.",Baseline,Full Summarily,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",ID.AM-07.01,IDENTIFY / Asset Management / Data & Metadata Inventory
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.B.2: Organizational assets (e.g., hardware, systems, data, and applications) are prioritized for protection based on the data classification and business value.",Baseline,Full,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",ID.AM-05.02,IDENTIFY / Asset Management / Asset Protection Prioritization
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,D1.G.IT.B.3: Management assigns accountability for maintaining an inventory of organizational assets.,Baseline,Full,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.",GV.RR-02.06,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.B.4: A change management process is in place to request and approve changes to systems configurations, hardware, software, applications, and security tools.",Baseline,Full,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",ID.RA-07.01,IDENTIFY / Risk Assessment / Change & Exception Management
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.E.1: The asset inventory, including identification of critical assets, is updated at least annually to address new, relocated, re-purposed, and sunset assets.",Evolving,Full Summarily,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",ID.AM-01.01,IDENTIFY / Asset Management / Hardware Inventory
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.E.1: The asset inventory, including identification of critical assets, is updated at least annually to address new, relocated, re-purposed, and sunset assets.",Evolving,Full Summarily,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).",ID.AM-02.01,"IDENTIFY / Asset Management / Software, Services, & Systems Inventory"
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.E.1: The asset inventory, including identification of critical assets, is updated at least annually to address new, relocated, re-purposed, and sunset assets.",Evolving,Full Summarily,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",ID.AM-05.02,IDENTIFY / Asset Management / Asset Protection Prioritization
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,"D1.G.IT.E.1: The asset inventory, including identification of critical assets, is updated at least annually to address new, relocated, re-purposed, and sunset assets.",Evolving,Full Summarily,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",ID.AM-07.01,IDENTIFY / Asset Management / Data & Metadata Inventory
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,D1.G.IT.E.2: The institution has a documented asset life-cycle process that considers whether assets to be acquired have appropriate security safeguards.,Evolving,Full Summarily,"GV.RM-08.02: Technology and cybersecurity risk management frameworks are applied to all technology projects and procurements to ensure that security requirements (e.g., data confidentiality, access control, event logging, etc.) are addressed consistently from project onset.",GV.RM-08.02,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,D1.G.IT.E.2: The institution has a documented asset life-cycle process that considers whether assets to be acquired have appropriate security safeguards.,Evolving,Full Summarily,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",ID.AM-08.01,IDENTIFY / Asset Management / Asset Life Cycle Management
1: Cyber Risk Management & Oversight / 1: Governance / 3: IT Asset Management,D1.G.IT.E.2: The institution has a documented asset life-cycle process that considers whether assets to be acquired have appropriate security safeguards.,Evolving,Full Summarily,"EX.DD-04.01: The organization defines and implements procedures for assessing the compatibility, security, integrity, and authenticity of externally-developed or externally-sourced applications, software, software components, and firmware before deployment and upon any major change.",EX.DD-04.01,EXTEND / Procurement Planning and Due Diligence / Product & Service Due Diligence
