,,,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,,
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Superset of,8,10,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Superset of,8,10,"GV.RR-01.05: The organization designates a qualified Technology Officer (e.g., CIO or CTO) who is responsible and accountable for developing technology strategy, overseeing and implementing its technology program, and enforcing its technology policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.05
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Intersects with,8,10,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Superset of,7,10,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Intersects with,7,10,GV.RR-02.05: Personnel (employees and third parties) who fulfill the organization’s physical security and cybersecurity objectives understand their roles and responsibilities.,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.05
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Intersects with,8,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01
OSFI CSSA-13,Identify,Business Environment,13,"The FRFI has allocated sufficient and skilled resources for the sustainment of cyber risk programs, systems, roles and services.",Functional ,Intersects with,7,10,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.02
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,8,10,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory,ID.AM-01.01
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,8,10,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory",ID.AM-02.01
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,8,10,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04.01
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,8,10,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,8,10,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,8,10,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.01
OSFI CSSA-14,Identify,Business Environment,14,"The FRFI has identified its critical technology assets and has implemented appropriate controls to ensure confidentiality, integrity and availability. The controls are regularly reviewed and tested.",Functional ,Intersects with,7,10,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.03
